,condition,shipping,size,item,day,measurement,new,inch,cm,length,question,vintage,check,number,used,payment,pit,good,ask,ship,tag,free,u,purchase,made,worn,price,like
0,1,3,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
1,1,5,1,2,4,0,2,0,0,0,1,0,1,3,0,0,0,0,1,0,1,1,0,2,0,0,0,0
2,3,0,2,1,0,3,2,0,4,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2
3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
4,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0
5,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,2,1,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
8,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
9,2,1,1,6,1,3,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,2,0
10,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
11,2,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
13,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,3,1,2,1,0,0,3,3,2,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0
15,1,2,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0
16,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
17,1,1,1,0,1,0,1,3,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
